size,total_sqft,bath,price,site_location,bhk,price_per_sqft
3 BHK,1523.0,3.0,170.0,Bund Garden Road,3,11162.179908076165
2 BHK,883.0,2.0,45.0,Camp,2,5096.262740656852
1 BHK,700.0,1.0,38.0,Chandan Nagar,1,5428.571428571428
2 BHK,1170.0,2.0,62.5,Dapodi,2,5341.880341880342
3 BHK,1200.0,2.0,42.0,Deccan Gymkhana,3,3500.0
3 BHK,2400.0,3.0,170.0,Dehu Road,3,7083.333333333333
2 BHK,1480.0,2.0,65.0,Dhankawadi,2,4391.891891891892
3 BHK,1897.0,3.0,120.0,Dhayari Phata,3,6325.77754348972
2 BHK,996.0,2.0,67.0,Dhole Patil Road,2,6726.907630522089
3 BHK,1875.0,3.0,110.0,Erandwane,3,5866.666666666667
3 BHK,1500.0,2.0,98.0,Fatima Nagar,3,6533.333333333333
3 BHK,3095.0,3.0,350.0,Fergusson College Road,3,11308.562197092084
3 BHK,1390.0,2.0,175.0,Ganesh Peth,3,12589.928057553956
3 BHK,1450.0,3.0,65.255,Ganeshkhind,3,4500.3448275862065
1 BHK,697.0,1.0,45.0,Ghorpade Peth,1,6456.241032998565
1 BHK,710.0,1.0,27.0,Ghorpadi,1,3802.8169014084506
2 BHK,910.0,2.0,30.5,Gokhale Nagar,2,3351.6483516483518
3 BHK,1025.0,2.0,48.0,Gultekdi,3,4682.926829268293
2 BHK,1000.0,2.0,46.5,Guruwar peth,2,4650.0
4 Bedroom,1200.0,4.0,244.0,Hadapsar,4,20333.333333333332
3 BHK,1453.0,2.0,46.48,Hadapsar Industrial Estate,3,3198.8988300068822
4 BHK,3335.0,5.0,300.0,Hingne Khurd,4,8995.502248875562
2 BHK,971.5,2.0,36.435,Jangali Maharaj Road,2,3750.386001029336
2 BHK,1281.0,2.0,74.0,Kalyani Nagar,2,5776.736924277908
1 BHK,565.0,1.0,35.0,Karve Nagar,1,6194.690265486725
2 BHK,1024.0,2.0,42.0,Karve Road,2,4101.5625
3 BHK,1620.0,3.0,62.0,Kasba Peth,3,3827.1604938271603
2 BHK,1254.0,2.0,40.0,Katraj,2,3189.792663476874
3 BHK,1300.0,2.0,75.0,Khadaki,3,5769.2307692307695
2 BHK,1233.0,2.0,43.0,Khadki,2,3487.42903487429
1 Bedroom,1200.0,1.0,28.0,Kharadi,1,2333.3333333333335
3 BHK,1510.0,2.0,105.0,Kondhwa,3,6953.64238410596
2 BHK,950.0,2.0,65.0,Kondhwa Budruk,2,6842.105263157895
3 BHK,1945.0,3.0,97.42,Kondhwa Khurd,3,5008.740359897172
2 BHK,1008.0,2.0,45.0,Koregaon Park,2,4464.285714285715
3 BHK,1265.0,2.0,79.0,Kothrud,3,6245.059288537549
3 BHK,1255.0,2.0,77.68,Law College Road,3,6189.641434262949
4 BHK,2689.0,6.0,220.0,Laxmi Road,4,8181.480104127929
2 BHK,1200.0,2.0,46.17,Lulla Nagar,2,3847.5
3 BHK,1403.0,3.0,51.63,Mahatma Gandhi Road,3,3679.9714896650034
3 BHK,1535.0,3.0,85.0,Mangalwar peth,3,5537.459283387622
3 Bedroom,1500.0,3.0,100.0,Manik Bagh,3,6666.666666666667
3 BHK,1475.0,2.0,120.0,Market yard,3,8135.593220338983
3 BHK,1390.0,2.0,60.47,Model colony,3,4350.359712230216
3 BHK,1278.0,2.0,53.76,Mukund Nagar,3,4206.572769953052
2 BHK,1133.0,2.0,55.0,Mundhawa,2,4854.368932038835
5 Bedroom,1560.0,5.0,145.0,Nagar Road,5,9294.871794871795
5 Bedroom,2900.0,5.0,90.0,Nana Peth,5,3103.448275862069
2 BHK,1170.0,2.0,51.99,Narayan Peth,2,4443.589743589743
3 Bedroom,1200.0,3.0,200.0,Narayangaon,3,16666.666666666668
3 BHK,1697.0,3.0,94.79,Navi Peth,3,5585.739540365351
3 BHK,1651.0,3.0,97.38,Padmavati,3,5898.24348879467
3 BHK,1560.0,3.0,188.0,Parvati Darshan,3,12051.28205128205
3 BHK,1192.0,2.0,60.0,Pashan,3,5033.557046979866
2 BHK,1078.0,2.0,65.0,Paud Road,2,6029.684601113173
7 Bedroom,800.0,7.0,105.0,Pirangut,7,13125.0
2 BHK,1349.0,2.0,78.0,Prabhat Road,2,5782.060785767235
9 Bedroom,2300.0,8.0,210.0,Pune Railway Station,9,9130.434782608696
3 BHK,1680.0,3.0,120.0,Rasta Peth,3,7142.857142857143
3 BHK,1314.0,2.0,63.0,Raviwar Peth,3,4794.520547945205
2 BHK,1060.0,2.0,48.7,Sadashiv Peth,2,4594.33962264151
2 BHK,820.0,2.0,39.0,Sahakar Nagar,2,4756.09756097561
4 Bedroom,5000.0,4.0,400.0,Salunke Vihar,4,8000.0
3 BHK,2000.0,3.0,85.0,Sasson Road,3,4250.0
2 BHK,856.0,2.0,40.0,Satara Road,2,4672.897196261682
3 BHK,1621.0,4.0,130.0,Senapati Bapat Road,3,8019.740900678594
3 Bedroom,1200.0,3.0,68.4,Shaniwar Peth,3,5700.000000000001
3 BHK,1484.0,3.0,52.5,Shivaji Nagar,3,3537.735849056604
4 Bedroom,600.0,5.0,60.0,Shukrawar Peth,4,10000.0
4 Bedroom,14000.0,3.0,800.0,Sinhagad Road,4,5714.285714285715
1 BHK,500.0,1.0,20.0,Somwar Peth,1,4000.0
1 BHK,485.0,1.0,15.0,Swargate,1,3092.783505154639
2 BHK,1050.0,2.0,42.0,Tilak Road,2,4000.0
3 BHK,1617.0,3.0,66.68,Uruli Devachi,3,4123.685837971553
2 BHK,550.0,1.0,16.0,Vadgaon Budruk,2,2909.090909090909
3 BHK,1384.0,3.0,62.28,Wadgaon Sheri,3,4500.0
2 BHK,1408.0,2.0,85.0,Viman Nagar,2,6036.931818181818
2 BHK,1150.0,2.0,49.0,Vishrant Wadi,2,4260.869565217391
3 BHK,1410.0,2.0,75.0,Wagholi,3,5319.148936170212
4 BHK,2150.0,4.0,100.0,Wakadewadi,4,4651.162790697675
3 BHK,2292.0,4.0,275.0,Wanowrie,3,11998.25479930192
3 BHK,2006.0,3.0,297.0,Warje,3,14805.583250249252
3 BHK,1508.0,3.0,70.25,Yerawada,3,4658.488063660478
2 BHK,1040.0,2.0,50.0,Alandi Road,2,4807.692307692308
2 Bedroom,1240.0,2.0,60.0,Ambegaon Budruk,2,4838.709677419355
3 BHK,1535.0,3.0,78.0,Anandnagar,3,5081.4332247557
2 BHK,1180.0,2.0,75.0,Aundh,2,6355.932203389831
6 Bedroom,2200.0,6.0,68.0,Aundh Road,6,3090.909090909091
2 BHK,1400.0,2.0,78.0,Balaji Nagar,2,5571.428571428572
1 BHK,500.0,1.0,25.0,Baner,1,5000.0
4 Bedroom,4800.0,4.0,525.0,Baner road,4,10937.5
3 BHK,1984.0,4.0,146.0,Bhandarkar Road,3,7358.870967741936
4 Bedroom,3000.0,5.0,250.0,Bhavani Peth,4,8333.333333333334
3 BHK,1960.0,3.0,160.0,Bibvewadi,3,8163.265306122449
2 BHK,1035.0,2.0,45.0,Bopodi,2,4347.826086956522
4 Bedroom,2150.0,4.0,80.0,Budhwar Peth,4,3720.9302325581393
3 BHK,1700.0,3.0,115.0,Bund Garden Road,3,6764.705882352941
4 BHK,3024.0,5.0,248.0,Camp,4,8201.0582010582
3 BHK,1586.0,3.0,100.0,Chandan Nagar,3,6305.170239596469
4 Bedroom,2325.0,4.0,120.0,Deccan Gymkhana,4,5161.290322580645
2 BHK,1120.0,2.0,55.0,Dehu Road,2,4910.714285714285
2 BHK,1128.0,2.0,59.0,Dhayari Phata,2,5230.49645390071
6 Bedroom,1200.0,6.0,250.0,Dhole Patil Road,6,20833.333333333332
2 BHK,924.0,2.0,65.0,Erandwane,2,7034.632034632034
3 BHK,1600.0,3.0,52.0,Fatima Nagar,3,3250.0
2 BHK,1006.0,2.0,35.0,Fergusson College Road,2,3479.1252485089462
2 BHK,1200.0,2.0,55.0,Ganesh Peth,2,4583.333333333333
2 BHK,1250.0,2.0,62.0,Ganeshkhind,2,4960.0
3 Bedroom,1200.0,3.0,130.0,Ghorpade Peth,3,10833.333333333334
2 BHK,957.0,2.0,56.0,Ghorpadi,2,5851.619644723093
2 BHK,1140.0,2.0,41.0,Gokhale Nagar,2,3596.4912280701756
2 BHK,1050.0,2.0,67.0,Gultekdi,2,6380.952380952381
3 BHK,1565.0,3.0,88.5,Guruwar peth,3,5654.952076677317
2 BHK,1190.0,2.0,57.0,Hadapsar,2,4789.915966386555
3 Bedroom,2842.0,3.0,162.0,Hadapsar Industrial Estate,3,5700.2111189303305
3 BHK,1558.67,2.0,65.0,Hingne Khurd,3,4170.222048284755
1 BHK,630.0,1.0,39.0,Jangali Maharaj Road,1,6190.476190476191
3 BHK,1403.0,2.0,60.81,Kalyani Nagar,3,4334.283677833215
3 BHK,1542.0,2.0,85.0,Karve Nagar,3,5512.321660181582
4 Bedroom,2750.0,4.0,220.0,Karve Road,4,8000.0
4 BHK,3596.0,5.0,290.0,Kasba Peth,4,8064.5161290322585
3 BHK,1635.0,2.0,78.0,Katraj,3,4770.642201834862
2 BHK,1239.0,2.0,53.0,Khadaki,2,4277.643260694108
2 BHK,1194.0,2.0,47.0,Khadki,2,3936.348408710218
3 BHK,1596.0,3.0,105.0,Kharadi,3,6578.9473684210525
2 BHK,1009.0,2.0,38.34,Kondhwa,2,3799.8017839445
3 BHK,1726.0,3.0,81.99,Kondhwa Budruk,3,4750.289687137891
3 BHK,1535.0,3.0,86.0,Kondhwa Khurd,3,5602.605863192182
3 BHK,1300.0,2.0,58.5,Koregaon Park,3,4500.0
4 Bedroom,3100.0,4.0,465.0,Kothrud,4,15000.0
3 BHK,1800.0,3.0,80.0,Law College Road,3,4444.444444444444
1 BHK,665.0,1.0,50.75,Laxmi Road,1,7631.578947368421
9 Bedroom,4050.0,7.0,1200.0,Lulla Nagar,9,29629.62962962963
3 Bedroom,1500.0,2.0,100.0,Mahatma Gandhi Road,3,6666.666666666667
2 BHK,925.0,2.0,48.0,Mangalwar peth,2,5189.189189189189
4 BHK,3356.0,4.0,251.0,Manik Bagh,4,7479.141835518474
2 BHK,1395.0,2.0,63.59,Market yard,2,4558.4229390681
3 BHK,1415.0,2.0,55.0,Model colony,3,3886.9257950530036
3 BHK,1419.0,2.0,59.0,Mukund Nagar,3,4157.85764622974
2 BHK,1121.0,2.0,78.0,Mundhawa,2,6958.07314897413
3 BHK,1082.0,2.0,45.0,Nagar Road,3,4158.964879852126
2 BHK,1100.0,2.0,47.0,Nana Peth,2,4272.727272727273
3 BHK,1606.0,3.0,89.55,Narayan Peth,3,5575.965130759651
3 BHK,1650.0,3.0,88.0,Narayangaon,3,5333.333333333333
3 BHK,4634.0,4.0,1015.0,Navi Peth,3,21903.32326283988
2 BHK,1206.0,2.0,75.0,Padmavati,2,6218.905472636816
3 BHK,1495.0,2.0,64.0,Parvati Darshan,3,4280.936454849499
8 Bedroom,840.0,7.0,195.0,Pashan,8,23214.285714285714
2 BHK,710.0,2.0,16.0,Paud Road,2,2253.521126760563
2 BHK,1210.0,2.0,72.0,Pirangut,2,5950.413223140496
3 BHK,1523.0,2.0,53.4,Prabhat Road,3,3506.2376887721603
2 BHK,1232.0,2.0,45.0,Pune Railway Station,2,3652.5974025974024
1 BHK,680.0,1.0,44.0,Rasta Peth,1,6470.588235294118
3 BHK,1355.0,3.0,83.87,Raviwar Peth,3,6189.667896678967
3 BHK,1430.0,2.0,51.46,Sadashiv Peth,3,3598.6013986013986
3 BHK,1275.0,2.0,43.85,Sahakar Nagar,3,3439.2156862745096
2 BHK,1070.0,2.0,56.1,Salunke Vihar,2,5242.990654205608
3 Bedroom,1200.0,3.0,85.0,Sasson Road,3,7083.333333333333
4 Bedroom,2000.0,4.0,120.0,Satara Road,4,6000.0
2 BHK,1200.0,2.0,40.0,Senapati Bapat Road,2,3333.3333333333335
3 BHK,1610.0,3.0,90.0,Shaniwar Peth,3,5590.062111801242
2 BHK,1140.0,2.0,43.0,Shivaji Nagar,2,3771.9298245614036
2 BHK,1143.0,2.0,38.65,Shukrawar Peth,2,3381.4523184601926
4 BHK,3467.86,6.0,249.0,Sinhagad Road,4,7180.220654813054
3 BHK,1530.0,2.0,74.4,Somwar Peth,3,4862.745098039216
2 BHK,980.0,2.0,69.0,Swargate,2,7040.816326530612
3 BHK,1485.0,3.0,65.0,Tilak Road,3,4377.104377104377
3 Bedroom,1500.0,3.0,130.0,Uruli Devachi,3,8666.666666666666
2 BHK,1280.0,2.0,75.0,Vadgaon Budruk,2,5859.375
2 BHK,1265.0,2.0,85.0,Wadgaon Sheri,2,6719.367588932806
2 BHK,1132.0,2.0,67.0,Viman Nagar,2,5918.727915194347
2 BHK,1262.0,2.0,63.0,Vishrant Wadi,2,4992.076069730587
2 BHK,940.0,2.0,49.0,Wagholi,2,5212.765957446809
3 BHK,1515.0,3.0,88.0,Wakadewadi,3,5808.580858085808
3 BHK,1300.0,3.0,150.0,Wanowrie,3,11538.461538461539
3 Bedroom,1840.0,3.0,69.0,Warje,3,3750.0
2 BHK,890.0,2.0,45.0,Yerawada,2,5056.179775280899
3 BHK,1655.0,3.0,86.06,Alandi Road,3,5200.0
3 BHK,2060.0,3.0,149.0,Ambegaon Budruk,3,7233.0097087378645
3 BHK,1730.0,3.0,96.0,Anandnagar,3,5549.132947976878
3 BHK,2195.0,4.0,127.0,Aundh,3,5785.876993166287
3 BHK,1650.0,3.0,125.0,Aundh Road,3,7575.757575757576
2 Bedroom,1200.0,2.0,71.0,Balaji Nagar,2,5916.666666666667
2 BHK,1079.0,2.0,32.37,Baner,2,2999.9999999999995
2 BHK,1085.0,2.0,36.0,Baner road,2,3317.9723502304146
7 Bedroom,5000.0,7.0,299.0,Bhandarkar Road,7,5980.0
2 BHK,1075.0,2.0,51.5,Bhavani Peth,2,4790.697674418605
2 BHK,1380.0,2.0,80.0,Bibvewadi,2,5797.101449275362
3 BHK,1450.0,3.0,65.0,Bopodi,3,4482.758620689655
2 BHK,1200.0,2.0,78.0,Budhwar Peth,2,6500.0
3 BHK,3200.0,4.0,350.0,Bund Garden Road,3,10937.5
3 BHK,1639.0,3.0,98.32,Camp,3,5998.779743746187
2 BHK,1200.0,2.0,54.0,Chandan Nagar,2,4500.0
3 BHK,1739.0,3.0,116.0,Dapodi,3,6670.500287521564
4 Bedroom,4346.0,5.0,500.0,Deccan Gymkhana,4,11504.83202945237
2 BHK,935.0,2.0,32.72,Dehu Road,2,3499.4652406417113
1 RK,510.0,1.0,25.25,Dhankawadi,1,4950.980392156863
6 Bedroom,1200.0,6.0,180.0,Dhayari Phata,6,15000.0
2 BHK,1178.0,2.0,47.0,Dhole Patil Road,2,3989.8132427843802
3 BHK,1375.0,2.0,50.0,Erandwane,3,3636.3636363636365
3 BHK,1065.0,2.0,33.0,Fatima Nagar,3,3098.5915492957747
3 BHK,1450.0,2.0,50.75,Fergusson College Road,3,3500.0
2 BHK,999.0,2.0,45.0,Ganesh Peth,2,4504.504504504504
2 BHK,4400.0,3.0,475.0,Ganeshkhind,2,10795.454545454546
5 Bedroom,1350.0,4.0,135.0,Ghorpade Peth,5,10000.0
2 BHK,1100.0,2.0,40.0,Ghorpadi,2,3636.3636363636365
3 BHK,1835.0,2.0,155.0,Gokhale Nagar,3,8446.866485013625
4 BHK,2090.0,4.0,95.1,Gultekdi,4,4550.239234449761
3 BHK,1519.0,3.0,93.0,Guruwar peth,3,6122.448979591837
3 BHK,1267.0,3.0,56.0,Hadapsar,3,4419.889502762431
2 BHK,1150.0,2.0,72.2,Hadapsar Industrial Estate,2,6278.260869565217
2 BHK,1146.0,2.0,70.0,Hingne Khurd,2,6108.202443280978
8 Bedroom,1200.0,7.0,235.0,Jangali Maharaj Road,8,19583.333333333332
3 BHK,1550.0,3.0,65.0,Kalyani Nagar,3,4193.548387096775
2 BHK,850.0,1.0,18.5,Karve Nagar,2,2176.470588235294
3 BHK,2200.0,3.0,187.0,Karve Road,3,8500.0
3 Bedroom,3329.0,3.0,330.0,Kasba Peth,3,9912.886752778611
1 BHK,785.0,1.0,55.0,Katraj,1,7006.369426751592
3 BHK,2900.0,4.0,300.0,Khadaki,3,10344.827586206897
3 BHK,1610.0,3.0,74.0,Khadki,3,4596.273291925466
2 BHK,921.0,2.0,40.0,Kharadi,2,4343.105320304017
3 Bedroom,850.0,3.0,95.0,Kondhwa,3,11176.470588235294
5 Bedroom,2700.0,5.0,158.0,Kondhwa Budruk,5,5851.851851851852
3 BHK,1700.0,3.0,110.0,Kondhwa Khurd,3,6470.588235294118
2 BHK,1020.0,2.0,35.0,Koregaon Park,2,3431.372549019608
2 BHK,1090.0,2.0,52.0,Kothrud,2,4770.642201834862
4 Bedroom,3600.0,4.0,300.0,Law College Road,4,8333.333333333334
2 BHK,1027.0,2.0,44.0,Laxmi Road,2,4284.323271665044
2 BHK,1185.0,2.0,42.1,Lulla Nagar,2,3552.7426160337554
2 BHK,850.0,2.0,25.0,Mahatma Gandhi Road,2,2941.176470588235
2 BHK,1197.0,2.0,84.0,Mangalwar peth,2,7017.543859649123
4 BHK,3500.0,3.0,450.0,Manik Bagh,4,12857.142857142857
2 BHK,920.0,2.0,39.55,Market yard,2,4298.91304347826
2 BHK,1105.0,2.0,65.0,Mukund Nagar,2,5882.35294117647
3 BHK,1850.0,3.0,100.0,Mundhawa,3,5405.405405405405
3 BHK,1300.0,3.0,64.0,Nagar Road,3,4923.076923076923
3 BHK,1595.0,3.0,76.0,Nana Peth,3,4764.8902821316615
4 BHK,3073.0,5.0,696.0,Narayan Peth,4,22648.87731858119
2 BHK,755.0,2.0,37.49,Narayangaon,2,4965.562913907284
5 Bedroom,4050.0,5.0,140.0,Navi Peth,5,3456.7901234567903
3 BHK,1300.0,2.0,69.0,Padmavati,3,5307.692307692308
2 BHK,1215.0,2.0,50.0,Parvati Darshan,2,4115.22633744856
2 BHK,900.0,2.0,46.0,Pashan,2,5111.111111111111
2 BHK,1145.0,2.0,58.4,Paud Road,2,5100.436681222707
2 BHK,1093.0,2.0,65.0,Pirangut,2,5946.935041171088
3 BHK,1213.0,2.0,41.39,Prabhat Road,3,3412.201154163232
3 BHK,1654.0,3.0,100.0,Pune Railway Station,3,6045.949214026602
2 BHK,1105.0,2.0,52.48,Rasta Peth,2,4749.321266968326
3 BHK,1611.0,2.0,66.0,Raviwar Peth,3,4096.83426443203
2 BHK,1367.0,2.0,62.0,Sadashiv Peth,2,4535.479151426482
2 BHK,1010.0,2.0,51.0,Sahakar Nagar,2,5049.504950495049
3 Bedroom,750.0,2.0,75.0,Salunke Vihar,3,10000.0
3 BHK,1535.0,3.0,95.0,Sasson Road,3,6188.9250814332245
2 BHK,620.0,2.0,22.0,Satara Road,2,3548.3870967741937
2 BHK,982.0,2.0,47.65,Senapati Bapat Road,2,4852.34215885947
2 BHK,1700.0,2.0,150.0,Shaniwar Peth,2,8823.529411764706
2 BHK,1330.0,2.0,71.0,Shivaji Nagar,2,5338.345864661655
3 Bedroom,2500.0,3.0,135.0,Shukrawar Peth,3,5400.0
3 BHK,1475.0,2.0,58.99,Sinhagad Road,3,3999.322033898305
3 BHK,1410.0,3.0,65.0,Somwar Peth,3,4609.929078014185
1 BHK,440.0,1.0,16.5,Swargate,1,3750.0
3 BHK,1614.0,3.0,95.0,Tilak Road,3,5885.9975216852545
2 BHK,1363.0,2.0,68.0,Uruli Devachi,2,4988.994864269993
2 Bedroom,650.0,2.0,28.0,Vadgaon Budruk,2,4307.692307692308
2 BHK,1015.0,2.0,45.0,Wadgaon Sheri,2,4433.4975369458125
2 BHK,1156.0,2.0,46.0,Viman Nagar,2,3979.2387543252594
2 BHK,1100.0,2.0,62.7,Vishrant Wadi,2,5700.0
3 BHK,1455.0,3.0,46.0,Wagholi,3,3161.512027491409
2 BHK,930.0,2.0,45.0,Wakadewadi,2,4838.709677419355
3 BHK,1650.0,2.0,80.0,Wanowrie,3,4848.484848484848
2 Bedroom,1200.0,2.0,90.0,Warje,2,7500.0
1 Bedroom,700.0,1.0,150.0,Yerawada,1,21428.571428571428
4 BHK,2900.0,3.0,135.0,Alandi Road,4,4655.172413793103
3 BHK,1890.0,4.0,127.0,Ambegaon Budruk,3,6719.576719576719
3 BHK,2197.0,4.0,280.0,Anandnagar,3,12744.651797906236
3 BHK,3522.0,3.0,380.0,Aundh,3,10789.324247586599
3 BHK,1240.0,2.0,46.0,Aundh Road,3,3709.6774193548385
2 BHK,1440.0,2.0,98.0,Balaji Nagar,2,6805.555555555556
1 BHK,650.0,1.0,38.0,Baner,1,5846.153846153846
1 BHK,764.0,1.0,32.0,Baner road,1,4188.48167539267
5 Bedroom,900.0,4.0,90.0,Bhandarkar Road,5,10000.0
3 BHK,1693.0,3.0,57.39,Bhavani Peth,3,3389.84051978736
3 BHK,1445.0,3.0,65.0,Bibvewadi,3,4498.269896193771
2 BHK,900.0,1.0,45.0,Bopodi,2,5000.0
2 BHK,1030.0,2.0,55.0,Budhwar Peth,2,5339.805825242718
3 BHK,1381.0,2.0,52.48,Bund Garden Road,3,3800.1448225923245
2 BHK,1100.0,2.0,60.0,Camp,2,5454.545454545455
3 BHK,1575.0,3.0,66.39,Chandan Nagar,3,4215.238095238095
2 Bedroom,1200.0,2.0,65.0,Dapodi,2,5416.666666666667
2 BHK,1200.0,2.0,43.2,Deccan Gymkhana,2,3600.0
2 BHK,1080.0,2.0,80.0,Dehu Road,2,7407.407407407408
5 Bedroom,2280.0,5.0,200.0,Dhankawadi,5,8771.929824561403
3 BHK,1360.0,2.0,85.0,Dhayari Phata,3,6250.0
3 BHK,1865.0,3.0,124.0,Dhole Patil Road,3,6648.793565683646
3 BHK,1157.0,2.0,75.0,Erandwane,3,6482.281763180639
2 BHK,674.0,2.0,29.0,Fatima Nagar,2,4302.670623145401
3 BHK,1405.0,2.0,78.0,Fergusson College Road,3,5551.601423487545
2 BHK,1160.0,2.0,44.08,Ganesh Peth,2,3800.0
4 Bedroom,1600.0,3.0,172.0,Ganeshkhind,4,10750.0
3 BHK,1790.0,3.0,127.0,Ghorpade Peth,3,7094.972067039106
2 BHK,1128.0,2.0,65.65,Ghorpadi,2,5820.035460992909
2 BHK,1180.0,2.0,70.0,Gokhale Nagar,2,5932.203389830508
3 BHK,1450.0,2.0,85.0,Gultekdi,3,5862.068965517241
1 BHK,340.0,1.0,10.0,Guruwar peth,1,2941.176470588235
4 Bedroom,2000.0,3.0,166.0,Hadapsar,4,8300.0
2 BHK,1050.0,2.0,53.5,Hadapsar Industrial Estate,2,5095.238095238095
2 BHK,1125.0,2.0,40.0,Hingne Khurd,2,3555.5555555555557
2 BHK,1246.0,2.0,68.0,Jangali Maharaj Road,2,5457.463884430176
2 BHK,1372.0,2.0,61.0,Kalyani Nagar,2,4446.064139941691
3 BHK,1330.0,2.0,56.0,Karve Nagar,3,4210.526315789473
3 BHK,2465.0,5.0,234.0,Karve Road,3,9492.90060851927
2 BHK,1300.0,2.0,55.0,Kasba Peth,2,4230.7692307692305
2 Bedroom,1420.0,1.0,220.0,Katraj,2,15492.957746478873
4 Bedroom,810.0,4.0,50.0,Khadaki,4,6172.83950617284
2 BHK,1065.0,2.0,35.0,Khadki,2,3286.3849765258215
2 BHK,700.0,2.0,27.0,Kharadi,2,3857.1428571428573
2 BHK,687.325,2.0,42.72,Kondhwa,2,6215.40028370858
2 BHK,1050.0,2.0,45.0,Kondhwa Budruk,2,4285.714285714285
3 BHK,1250.0,3.0,39.5,Kondhwa Khurd,3,3160.0
2 BHK,865.0,2.0,42.0,Koregaon Park,2,4855.491329479769
2 BHK,1200.0,2.0,44.0,Kothrud,2,3666.6666666666665
3 BHK,1756.0,3.0,100.0,Law College Road,3,5694.760820045558
9 Bedroom,750.0,8.0,150.0,Laxmi Road,9,20000.0
1 BHK,628.0,1.0,24.0,Lulla Nagar,1,3821.6560509554142
7 Bedroom,1200.0,6.0,195.0,Mahatma Gandhi Road,7,16250.0
2 BHK,1207.0,2.0,63.0,Mangalwar peth,2,5219.552609776305
3 BHK,1765.0,3.0,125.0,Manik Bagh,3,7082.152974504249
2 BHK,1130.0,2.0,32.64,Market yard,2,2888.495575221239
3 BHK,1532.0,3.0,92.0,Model colony,3,6005.221932114882
3 BHK,1650.0,3.0,110.0,Mukund Nagar,3,6666.666666666667
4 Bedroom,1200.0,4.0,105.0,Mundhawa,4,8750.0
2 BHK,804.1,2.0,69.09,Nagar Road,2,8592.214898644446
2 BHK,1200.0,2.0,75.0,Nana Peth,2,6250.0
2 BHK,1197.0,2.0,50.0,Narayan Peth,2,4177.109440267335
2 BHK,1200.0,2.0,66.0,Narayangaon,2,5500.0
3 BHK,1385.0,2.0,48.48,Navi Peth,3,3500.361010830325
2 BHK,1010.0,2.0,148.0,Padmavati,2,14653.465346534653
3 BHK,2225.0,3.0,115.0,Parvati Darshan,3,5168.539325842697
2 BHK,1180.0,2.0,48.0,Pashan,2,4067.7966101694915
3 BHK,1525.0,2.0,122.0,Paud Road,3,8000.0
2 BHK,1100.0,2.0,31.5,Pirangut,2,2863.6363636363635
3 BHK,1435.0,3.0,70.0,Prabhat Road,3,4878.048780487805
1 BHK,400.0,1.0,14.0,Pune Railway Station,1,3500.0
2 BHK,1200.0,2.0,50.0,Rasta Peth,2,4166.666666666667
2 BHK,1272.0,2.0,95.05,Raviwar Peth,2,7472.4842767295595
2 BHK,1205.0,2.0,39.0,Sadashiv Peth,2,3236.514522821577
2 BHK,980.0,2.0,40.0,Sahakar Nagar,2,4081.6326530612246
2 BHK,1225.0,2.0,46.86,Salunke Vihar,2,3825.3061224489797
3 BHK,1541.0,3.0,72.0,Sasson Road,3,4672.290720311486
3 BHK,1610.0,2.0,111.0,Satara Road,3,6894.409937888198
2 BHK,1694.0,2.0,125.0,Senapati Bapat Road,2,7378.984651711924
3 Bedroom,600.0,3.0,75.0,Shaniwar Peth,3,12500.0
2 BHK,950.0,2.0,39.0,Shivaji Nagar,2,4105.263157894737
3 BHK,1560.0,2.0,66.0,Shukrawar Peth,3,4230.7692307692305
2 BHK,1201.0,2.0,27.0,Sinhagad Road,2,2248.1265611990007
2 Bedroom,1500.0,2.0,60.0,Somwar Peth,2,4000.0
3 BHK,1785.0,3.0,75.0,Swargate,3,4201.680672268908
2 BHK,1258.0,2.0,63.53,Tilak Road,2,5050.079491255962
2 BHK,910.0,2.0,42.0,Uruli Devachi,2,4615.384615384615
2 BHK,1297.0,2.0,112.0,Vadgaon Budruk,2,8635.312259059368
2 BHK,1291.0,2.0,49.0,Wadgaon Sheri,2,3795.5073586367157
2 BHK,1070.0,2.0,42.0,Viman Nagar,2,3925.233644859813
2 BHK,1012.0,2.0,66.5,Vishrant Wadi,2,6571.146245059289
2 BHK,1260.0,2.0,57.6,Wagholi,2,4571.428571428572
2 BHK,1282.0,2.0,72.0,Wakadewadi,2,5616.224648985959
3 BHK,1843.0,3.0,92.15,Wanowrie,3,5000.0
4 Bedroom,2400.0,3.0,200.0,Warje,4,8333.333333333334
5 Bedroom,3356.0,5.0,105.0,Yerawada,5,3128.7246722288437
4 BHK,2790.0,5.0,198.0,Alandi Road,4,7096.774193548387
2 BHK,1330.0,2.0,86.98,Ambegaon Budruk,2,6539.849624060151
3 BHK,1400.0,2.0,73.0,Anandnagar,3,5214.285714285715
2 BHK,1192.0,2.0,71.0,Aundh,2,5956.375838926175
2 BHK,1000.0,2.0,130.0,Aundh Road,2,13000.0
2 BHK,1297.0,2.0,103.0,Balaji Nagar,2,7941.403238242097
1 BHK,615.0,1.0,17.835,Baner,1,2900.0
3 BHK,1490.0,3.0,100.0,Baner road,3,6711.4093959731545
3 BHK,1373.0,3.0,72.0,Bhandarkar Road,3,5243.991260014566
2 BHK,1035.0,2.0,41.39,Bhavani Peth,2,3999.0338164251207
